show_id,platform,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s2325,hulu,TV Show,He-Man and the Masters of the Universe,,,,"December 21, 2018",1983,TV-Y7,2 Seasons,"Action, Adventure, Family","In this successful all time classic series, He-man the action adventure hero, must use his superhuman power to overcome the forces of evil. It all begins when The Sorceress, who dwells in the mysterious and magical Castle Grayskull calls on Adam, Prince of Eternia. She presents Adam with a powerful and magical sword, which he must learn to use with great wisdom and knowledge. The sword enables Adam to transform himself into He-man, the most powerful man in the Universe, by holding aloft his magic sword and commanding “By the power of Grayskull! I have the power!” The sword also transforms his trusted but fearful feline friend Cringer, into the fierce and loyal sidekick, Battlecat. Together He-man and Battle-Cat become the protectors of Eternia, alongside their trusted allies and friends, Teela, Man-At-Arms and Orko. All are fighting against the evil warrior Skeletor and his army of wicked henchmen - Beastman, Trap-Jaw, Evil-Lyn, Mer-man, Tri-Klops, Whiplash, Clawful, Two-Badd, Stinkor and Webstor. Skeletor has one plan, to dissolve the empire into chaos and rule over the planet. Only one man can stop him! He-man, guided by the Scorceress, stands in Skeletor’s way but can he save the planet!"
s2327,hulu,TV Show,The Killing,,,"United States, Canada","December 19, 2018",2011,TV-14,4 Seasons,"Crime, Drama, Mystery","An addictive crime drama with dark twists, The Killing tracks the murder of a Seattle teenager and the gripping investigation it sparks."
s2328,hulu,TV Show,Boston Legal,,,United States,"December 17, 2018",2004,TV-14,5 Seasons,Drama,"The personal and professional lives of Boston's most experienced litigators form the foundation of this prime-time comedy drama that has been nominated for multiple Emmy Awards since its 2004 premiere. When Washington, D.C., attorney Brad Chase (Mark Valley) was relocated to Boston to keep an eye on senior Crane, Poole & Schmidt partner Denny Crane (William Shatner), he had no idea what he was getting into. Meanwhile, as Chase does his best to keep an eye on Crane, Alan Shore (James Spader) uses ethically questionable methods to win the cases that no one else will touch. A spin-off of the Emmy Award-winning legal drama The Practice, Boston Legal has also featured such respected actors as Candice Bergen, René Auberjonois, and John Larroquette."
s2329,hulu,TV Show,Burn Notice,,,United States,"December 17, 2018",2007,TV-14,7 Seasons,"Action, Adventure, Crime","A ""burned"" spy returns to Miami where he uses his special ops training to help those in need, and bring justice against the men who wrongly burned him."
s2331,hulu,TV Show,White Collar,,,United States,"December 17, 2018",2009,TV-PG,6 Seasons,"Crime, Drama","White Collar is about the unlikely partnership of a con artist and an FBI agent who have been playing cat and mouse for years. Neal Caffrey (Matt Bomer), a charming criminal mastermind, is finally caught by his nemesis, FBI Agent Peter Burke (Tim DeKay.)"
s2333,hulu,TV Show,Deutschland 86,,,Germany,"December 14, 2018",2018,TV-MA,1 Season,"Drama, International, Thriller","1986: East Germany is broke, Perestroika is real, terrorism plagues Europe, the AIDS crisis intensifies and the struggle against apartheid rages on. Banished for his sins in 1983, Martin Rauch wallows in limbo until his Aunt Lenora conscripts him into her plan to drum up hard currency abroad. They set off on an adventure through Africa, Western Europe and finally home to East Germany. Can mafioso-style Capitalism save Communism just in the nick of time?"
s2335,hulu,TV Show,Graves,,,United States,"December 10, 2018",2016,TV-MA,2 Seasons,"Comedy, Drama","Graves, tells the story of President Richard Graves (Nick Nolte), a former two-term POTUS as he embarks on a Don Quixote-like quest to right the wrongs of his administration and reclaim his legacy 25 years after leaving the White House."
s2337,hulu,TV Show,NBA Rooks,,,,"December 5, 2018",2012,,1 Season,"Documentaries, Sports",Profiles and interviews with some of the league's top rookies.
s2338,hulu,TV Show,Adventure Time,,,"United States, South Korea","December 3, 2018",2010,TV-PG,10 Seasons,"Adventure, Cartoons, Family","It's one crazy adventure after another for human boy, Finn, and his best friend, Jake, a 28-year old dog with magical powers. They're out to have the most fun possible and they sure do find it exploring the Land of Ooo! Whether it's saving Princess Bubblegum, battling zombie candy, taunting the Ice King or rocking out with Marceline the Vampire Queen, with Finn and Jake it's always ADVENTURE TIME!"
s2339,hulu,TV Show,The Powerpuff Girls (2016),,,,"December 2, 2018",2016,TV-PG,4 Seasons,"Action, Kids","The Powerpuff Girls centers on three sugar-coated superheroes, whose missions in life alternate between going to school, fighting crime, winning at hopscotch and saving the world before bedtime. The girls are frequently called upon by the town's childlike and naive mayor to help fight nearby criminals using their powers."
s2340,hulu,TV Show,24,,,United States,"December 1, 2018",2001,TV-14,9 Seasons,"Action, Adventure, Crime","Kiefer Sutherland stars as Jack Bauer in this unique television series in which the entire season takes place in one day, with each of the 24 episodes covering one hour and told in real time."
s2342,hulu,TV Show,Melissa & Joey,,,United States,"December 1, 2018",2010,TV-14,4 Seasons,"Comedy, Family, Sitcom","In this hilarious new ABC Family original series, Mel (Melissa Joan Hart) is a former wild child turned local politician. When her sister ends up in prison and her brother-in-law goes on the lam, she takes in her teenaged niece and nephew. Spread too thin to manage by herself, help comes in the unlikely form of Joe (Joey Lawrence), a former stockbroker who is out of work. Desperate for a job, he moves in and becomes the family’s manny."
